1	608	4.090909
1	2692	4.4
1	2340	3.5
1	1193	4.7777777
1	2762	4.3333335
1	1197	4.5454545
1	2797	4.0
1	914	4.5
1	2355	3.8333333
1	1270	4.0
1	1721	3.6
1	2398	5.0
1	1246	4.3333335
1	2687	4.5
2	480	3.5454545
2	1537	4.5
2	648	3.1818182
2	1225	5.0
2	3147	5.0
2	2571	5.0
2	1259	4.0
2	780	3.0
2	1196	3.6666667
2	590	4.0
2	1968	3.8
2	593	4.6666665
2	1265	3.5714285
2	2194	4.5
2	3255	4.25
2	2359	5.0
2	2427	4.0
3	1136	4.5
3	1968	3.6666667
3	1394	3.6
3	2355	4.125
3	1270	3.75
3	1079	3.8333333
3	1641	3.4
3	1961	4.3333335
3	1259	4.428571
3	590	4.0
3	3534	4.0
4	480	3.7857144
4	260	4.4166665
4	3702	4.2
4	2951	4.6
4	1387	3.5
4	1196	4.3636365
5	3744	2.0
5	1921	4.0
5	34	3.75
5	2916	3.7142856
5	356	4.1666665
5	551	3.0
5	1704	4.3333335
5	3016	3.5
5	968	5.0
5	2858	4.125
5	1610	4.0
5	47	4.0
5	3793	3.7
5	593	4.625
5	3409	3.4
5	1171	4.5
5	2291	3.0
5	1653	4.0
5	1721	4.0
5	1722	4.0
5	3578	4.5
5	2395	3.5
5	2716	4.0
5	1213	4.0
6	3408	8.0
6	1	7.75
6	2321	6.8
6	2406	7.0
6	2006	8.0
6	3624	7.714286
6	920	6.6666666
6	3753	7.2
6	2858	8.941176
6	3578	8.75
6	2396	8.666667
6	383	6.0
7	1270	7.6666666
7	457	8.0
7	3753	7.75
7	377	6.0
7	2571	8.75
7	1196	8.0
7	349	9.0
8	2688	6.0
8	480	8.4
8	3105	8.0
8	2916	7.0
8	3173	6.0
8	2600	7.0
8	296	9.0
8	589	7.2
8	2541	6.0
8	527	8.285714
8	111	7.0
8	337	9.0
8	2324	10.0
8	1589	8.666667
8	2006	7.0
8	25	7.0
8	3481	9.0
8	1210	7.3333334
8	2490	7.0
8	1466	6.0
8	1213	9.333333
8	2686	6.0
8	3006	6.0
9	2692	8.0
9	3751	8.222222
9	2028	9.333333
9	2959	9.0
9	1584	7.3333334
9	1617	9.333333
9	1777	5.0
9	1265	7.5
9	1393	7.5
9	2324	8.666667
9	3160	9.333333
9	3513	7.3333334
9	377	5.6
9	1307	9.0
9	1148	8.0
9	318	9.666667
9	223	8.0
10	3072	8.0
10	356	10.0
10	3751	8.0
10	1704	9.5
10	1097	8.0
10	1035	6.0
10	110	8.0
10	1198	8.0
10	1230	6.6666666
10	1584	7.0
10	2770	4.0
10	1270	7.2
10	1079	8.0
10	920	8.666667
10	3481	6.6
10	2716	5.0
10	253	9.0
11	1089	7.0
11	3107	7.0
11	2918	7.0
11	2598	5.0
11	1288	5.0
11	2762	9.2
11	2858	9.0526314
11	1259	7.3333334
11	1197	8.0
11	1136	8.8
11	2321	6.5
11	2706	6.0
11	2355	7.142857
11	2997	8.0
11	3160	10.0
11	2683	6.0
11	3101	7.5
11	1278	9.333333
11	318	8.4
11	2174	8.0
11	2302	8.0
12	3362	6.0
12	1221	9.090909
12	919	8.615385
12	3785	6.0
12	1193	8.9230766
12	1641	7.142857
12	1198	9.222222
